Lab.ID,X,Y,Total.Starch,TriticeaeST,FaboideaeST,PanicoideaeST,Type5,USO,USOA,USOB,USOC,PxGram,Grass.inflorescence,Grass.Culm.Leaves,Panicoideae.grass,Cyp. papillae,Arecaceae
Catal B80.63P,935.9286,960.7973,15,0,0,5,3,0,0,0,0,484802,36,168,1,0,0
Catal B80.64P,935.6949,960.3436,28,0,2,10,5,2,0,0,1,563898,37,163,2,0,0
Catal B80.65P,935.4188,959.919,23,0,1,3,3,0,0,0,0,573435,35,163,1,0,1
Catal B80.66P,935.1993,959.4938,0,0,0,0,0,0,0,0,0,902816,40,164,3,0,0
Catal B80.67P,935.5696,961.0098,1,1,0,0,0,0,0,0,0,424047,39,158,1,0,0
Catal B80.68P,935.2558,960.6138,2,1,0,0,0,0,0,0,0,782677,80,127,4,0,0
Catal B80.69P,935.1515,960.1738,0,0,0,0,0,0,0,0,0,233004,38,146,1,0,0
Catal B80.70P,934.6716,959.7698,0,0,0,0,0,0,0,0,0,652803,60,150,1,0,0
Catal B80.71P,935.0556,961.3411,1,1,0,0,0,0,0,0,0,561839,44,164,3,2,0
Catal B80.72P,934.7203,960.816,0,0,0,0,0,0,0,0,0,527324,47,159,2,0,0
Catal B80.73P,934.6142,960.4497,0,0,0,0,0,0,0,0,0,406571,75,122,2,0,0
Catal B80.74P,934.3382,960.0668,0,0,0,0,0,0,0,0,0,218582,66,114,8,2,0
Catal B80.75P,931.9759,957.4528,5,0,0,0,1,3,0,1,2,461940,61,160,5,1,0
Catal B80.76P,931.8493,958.0622,13,0,0,0,3,4,1,3,2,242359,71,152,3,1,0
Catal B80.77P,931.6174,957.525,6,1,0,0,0,2,1,2,1,233071,70,151,6,1,0
Catal B80.78P,931.3794,958.1782,11,0,1,1,0,4,2,2,2,173841,61,163,2,0,0
Catal B80.79P,931.2175,957.6916,0,0,0,0,0,0,0,0,0,120149,86,136,5,1,0
Catal B80.80P,932.7896,960.2881,38,2,0,5,6,7,0,0,6,452149,86,140,4,1,0
Catal B80.81P,932.5024,959.9337,98,1,2,9,21,1,0,0,1,166409,71,156,5,1,0
Catal B80.82P,932.448,960.4696,89,1,1,9,21,1,0,0,1,509728,79,135,9,4,0
Catal B80.83P,932.3672,960.1123,43,1,0,18,3,1,0,0,1,399718,77,139,1,0,0
